epoch,sat_id,state_index,active,observable,lifecycle_state,lineage_id,generation,parent_lineage_id,sigma_mm,resets,accepts,rejects,born_epoch,lifetime_epochs,rejection_streak,acceptance_streak,continuous_active_epochs,continuous_filter_epochs,rolling_sigma_mm,convergence_score
1500,G24,36,0,0,DORMANT,LIN-001916,7,LIN-001911,42.49,7,65,391,1055,445,22,0,0,0,43.33,0.0000
1500,G25,41,1,1,ACTIVE,LIN-002261,101,LIN-002260,20000.00,101,0,61,1441,59,59,0,60,0,20000.00,0.0000
1500,G26,14,0,0,DORMANT,LIN-001448,3,LIN-001442,19799.42,3,2,119,123,1377,1,0,0,0,20000.00,0.0000
1500,G27,15,0,0,DORMANT,LIN-001510,9,LIN-001509,19963.43,23,37,334,411,1089,0,0,0,0,19994.16,0.0000
1500,G29,43,1,1,ACTIVE,LIN-002318,19,LIN-002315,20000.00,19,0,4,1500,0,0,0,1,0,20000.00,0.0000
1500,G30,26,0,0,DORMANT,LIN-001930,17,LIN-001929,19987.12,17,75,584,1070,430,0,0,0,0,20000.00,0.0000
1500,G31,16,0,0,DORMANT,LIN-001436,5,LIN-001429,20000.00,4,0,44,79,1421,4,0,0,0,20000.00,0.0000
1800,E02,24,0,0,DORMANT,LIN-001463,0,,39.93,0,133,1101,275,1525,15,0,0,0,42.12,0.0000
1800,E03,25,1,1,ACTIVE,LIN-002543,38,LIN-002537,117.92,43,99,806,1602,198,0,1,199,25,124.38,0.1410
1800,E04,6,0,0,DORMANT,LIN-001446,0,,19990.99,5,2,96,105,1695,0,0,0,0,20000.00,0.0000
1800,E05,17,0,0,DORMANT,LIN-001787,5,LIN-001786,19973.25,5,84,699,782,1018,7,0,0,0,19998.23,0.0000
1800,E07,46,1,1,ACTIVE,LIN-002657,3,LIN-002656,117.99,15,12,73,1728,72,0,1,73,8,195.57,0.1410
1800,E09,7,0,0,DORMANT,LIN-001659,11,LIN-001652,19955.83,11,16,504,531,1269,0,0,0,0,20000.00,0.0000
1800,E13,40,1,1,ACTIVE,LIN-002066,0,,43.92,0,49,442,1279,521,4,0,522,49,44.09,0.1780
1800,E14,35,0,0,DORMANT,LIN-002239,11,LIN-002237,19983.53,11,67,376,1423,377,0,0,0,0,20000.00,0.0000
1800,E16,8,0,0,DORMANT,LIN-001662,75,LIN-001660,19981.50,75,2,455,532,1268,0,0,0,0,20000.00,0.0000
1800,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,1659,0,0,0,0,20000.00,0.0000
1800,E25,20,0,0,DORMANT,LIN-001767,1,LIN-001430,43.80,1,131,916,689,1111,5,0,0,0,55.87,0.0000
1800,E30,34,0,0,DORMANT,LIN-002663,2,LIN-001933,19999.61,2,94,731,1786,14,5,0,0,0,20000.00,0.0000
1800,E34,32,0,0,DORMANT,LIN-001782,1,LIN-001777,43.75,1,111,685,753,1047,16,0,0,0,46.08,0.0000
1800,G01,9,0,0,DORMANT,LIN-001857,73,LIN-001856,19998.61,78,60,340,864,936,0,0,0,0,19999.96,0.0000
1800,G02,18,0,0,DORMANT,LIN-001766,55,LIN-001765,19995.99,59,16,153,684,1116,1,0,0,0,19999.79,0.0000
1800,G03,10,0,0,DORMANT,LIN-001497,20,LIN-001494,19956.98,20,27,335,381,1419,1,0,0,0,20000.00,0.0000
1800,G04,11,0,0,DORMANT,LIN-001712,9,LIN-001711,19982.27,9,4,577,590,1210,0,0,0,0,20000.00,0.0000
1800,G05,39,0,0,DORMANT,LIN-002666,45,LIN-002024,19999.86,45,85,503,1788,12,1,0,0,0,20000.00,0.0000
1800,G06,31,0,0,DORMANT,LIN-002133,78,LIN-002131,19995.52,79,64,481,1339,461,0,0,0,0,20000.00,0.0000
1800,G07,19,0,0,DORMANT,LIN-001898,14,LIN-001897,19994.07,14,89,756,942,858,0,0,0,0,20000.00,0.0000
1800,G08,12,0,0,DORMANT,LIN-001705,7,LIN-001703,19976.36,98,55,383,570,1230,0,0,0,0,20000.00,0.0000
1800,G09,21,0,0,DORMANT,LIN-001780,13,LIN-001779,19939.63,13,70,567,731,1069,0,0,0,0,19996.64,0.0000
1800,G10,47,1,1,ACTIVE,LIN-002658,0,,20000.00,0,0,23,1741,59,23,0,30,0,20000.00,0.0000
1800,G11,33,0,0,DORMANT,LIN-002547,24,LIN-002540,19999.75,29,93,605,1605,195,9,0,0,0,19999.89,0.0000
1800,G12,38,1,1,ACTIVE,LIN-002665,1,LIN-002664,19999.97,53,66,505,1787,13,0,0,14,0,19999.99,0.0000
1800,G13,30,1,1,ACTIVE,LIN-002506,51,LIN-002499,115.54,52,95,601,1586,214,0,1,215,28,122.13,0.1422
1800,G14,23,0,0,DORMANT,LIN-002039,2,LIN-002032,19995.72,5,93,851,1246,554,0,0,0,0,20000.00,0.0000
1800,G15,42,1,1,ACTIVE,LIN-002523,67,LIN-002408,115.48,67,39,267,1593,207,0,1,208,26,122.07,0.1423
1800,G16,13,0,0,DORMANT,LIN-001464,13,LIN-001462,19955.38,13,1,262,275,1525,1,0,0,0,19993.74,0.0000
1800,G17,28,0,0,DORMANT,LIN-001985,1,LIN-001977,40.71,6,97,626,1184,616,5,0,0,0,46.91,0.0000
1800,G18,44,1,1,ACTIVE,LIN-002642,53,LIN-002640,40.33,53,16,128,1684,116,2,0,117,11,40.58,0.1798
1800,G19,29,0,0,DORMANT,LIN-002228,0,,19990.54,3,121,740,1416,384,1,0,0,0,19997.72,0.0000
1800,G21,37,0,0,DORMANT,LIN-001936,6,LIN-001935,37.00,7,82,517,1095,705,3,0,0,0,38.30,0.0000
1800,G22,27,0,0,DORMANT,LIN-002152,21,LIN-002150,19998.02,21,92,844,1350,450,0,0,0,0,20000.00,0.0000
1800,G23,45,1,1,ACTIVE,LIN-002618,68,LIN-002614,37.75,68,19,152,1640,160,8,0,161,17,38.02,0.1811
1800,G24,36,0,0,DORMANT,LIN-002376,8,LIN-001916,19980.67,7,65,391,1529,271,22,0,0,0,19995.73,0.0000
1800,G25,41,1,1,ACTIVE,LIN-002261,101,LIN-002260,40.10,101,29,332,1441,359,2,0,360,29,40.30,0.1799
1800,G26,14,0,0,DORMANT,LIN-001448,3,LIN-001442,19799.42,3,2,119,123,1677,1,0,0,0,20000.00,0.0000
1800,G27,15,0,0,DORMANT,LIN-001510,9,LIN-001509,19963.43,23,37,334,411,1389,0,0,0,0,19994.16,0.0000
1800,G29,43,1,1,ACTIVE,LIN-002582,98,LIN-002577,37.13,98,27,198,1620,180,1,0,181,20,37.34,0.1814
1800,G30,26,0,0,DORMANT,LIN-001930,17,LIN-001929,19987.11,17,75,584,1070,730,0,0,0,0,20000.00,0.0000
1800,G31,16,0,0,DORMANT,LIN-001436,5,LIN-001429,20000.00,4,0,44,79,1721,4,0,0,0,20000.00,0.0000
2100,E02,24,0,0,DORMANT,LIN-001463,0,,36.82,0,133,1101,275,1825,15,0,0,0,42.12,0.0000
2100,E03,25,0,0,DORMANT,LIN-002685,1,LIN-002677,19998.60,45,112,870,1880,220,0,0,0,0,20000.00,0.0000
2100,E04,6,0,0,DORMANT,LIN-001446,0,,19990.97,5,2,96,105,1995,0,0,0,0,20000.00,0.0000
2100,E05,17,0,0,DORMANT,LIN-001787,5,LIN-001786,19973.25,5,84,699,782,1318,7,0,0,0,19998.23,0.0000
2100,E07,46,1,1,ACTIVE,LIN-002657,3,LIN-002656,36.94,15,58,327,1728,372,5,0,373,54,37.15,0.1815
