epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
102,3060.0,-1.124731,0.063696,1.133870,-1097.5290,131.1501,21.0770,16.4444,1.0687,6.4019e+01,103.2015,82.3441,16.1592,2449.51,38.79,20000.00,40.0398,2962.5619
103,3090.0,-1.126639,0.066888,1.116207,-1204.6388,131.0374,18.0500,107.1098,0.1127,6.3228e+01,102.6299,81.6874,16.1720,1248.56,38.11,9518.42,36.1688,2786.8117
104,3120.0,-1.120414,0.097359,1.090794,-1267.8243,134.5243,40.1636,63.1855,3.4869,6.2671e+01,102.0664,81.0316,16.1762,686.59,37.47,4693.15,38.6717,3446.5214
105,3150.0,-1.109399,0.112080,1.078085,-1305.7690,136.5235,22.3508,37.9447,1.9993,6.2199e+01,101.5104,80.3872,16.1738,462.43,36.87,2849.32,35.6347,2570.2749
106,3180.0,-1.122736,0.116019,1.073875,-1269.9982,137.9941,14.5295,35.7707,1.4705,6.1819e+01,100.9085,79.6855,16.1622,347.89,36.30,1953.03,32.7761,874.1592
107,3210.0,-1.121073,0.140043,1.060491,-1190.5371,140.7633,27.5515,79.4611,2.7693,6.1434e+01,100.3154,79.0404,16.1472,279.29,35.77,1442.84,38.8773,953.2999
108,3240.0,-1.131085,0.155504,1.049791,-1266.1464,142.2092,21.3017,75.6092,1.4459,6.1038e+01,99.7803,78.4722,16.1339,233.83,35.27,1121.03,45.5843,2597.5961
109,3270.0,-1.135873,0.166223,1.039307,-1321.1428,142.8583,15.7393,54.9965,0.6491,6.0722e+01,99.2509,77.8753,16.1173,201.56,34.80,903.06,42.1170,2512.0868
110,3300.0,-1.151568,0.173974,1.046298,-1206.3540,145.2810,18.8488,114.7888,2.4227,6.0441e+01,98.7269,77.2845,16.0982,177.50,34.36,747.54,40.1199,2357.5101
111,3330.0,-1.158155,0.165513,1.039987,-1130.6408,145.6843,12.4412,75.7131,0.4033,5.7023e+01,98.1757,76.7857,16.2846,2374.89,33.93,20000.00,36.6619,1153.7311
112,3360.0,-1.143735,0.175983,1.028667,-1144.4301,146.9873,21.1118,13.7893,1.3030,5.5667e+01,97.6320,76.1870,16.4329,1235.24,33.52,9876.04,27.8975,1073.0288
113,3390.0,-1.137079,0.178972,1.012789,-1139.0940,147.3176,17.4742,5.3361,0.3303,5.4629e+01,97.1255,75.6478,16.5600,141.64,33.13,474.39,35.7215,1161.7652
114,3420.0,-1.135254,0.166987,1.008586,-1228.6501,146.3667,12.8306,89.5562,0.9509,5.3829e+01,96.6251,75.0931,16.6622,130.46,32.76,418.79,24.8854,737.4936
115,3450.0,-1.142329,0.161745,1.009985,-1170.3187,148.2413,8.9164,58.3315,1.8746,5.3176e+01,96.1303,74.5439,16.7438,121.06,32.40,373.45,24.0265,917.8411
116,3480.0,-1.139451,0.177609,1.004094,-1331.2355,150.9053,17.1654,160.9169,2.6640,5.2638e+01,95.6407,74.0026,16.8082,113.05,32.06,335.94,32.3156,932.7874
117,3510.0,-1.131423,0.189535,1.000879,-1015.8854,154.9127,14.7313,315.3501,4.0075,4.6503e+01,95.2284,82.3239,16.8930,106.56,31.87,304.60,101.3733,1232.5175
118,3540.0,-1.123979,0.182290,1.002974,-1184.8053,154.6374,10.5963,168.9199,0.2753,5.1630e+01,94.7396,73.1057,16.9220,100.50,31.54,277.96,43.1961,861.5812
119,3570.0,-1.119827,0.173612,0.998954,-1379.3025,153.4665,10.4260,194.4972,1.1709,5.1397e+01,94.2557,72.5443,16.9430,95.20,31.23,255.18,36.0399,1411.1216
120,3600.0,-1.116840,0.178943,1.001988,-1193.9593,156.4019,6.8223,185.3431,2.9354,5.0753e+01,93.7822,72.1787,16.9600,90.53,30.94,235.55,43.1081,839.8805
121,3630.0,-1.115701,0.180849,1.007756,-1322.4871,153.2020,6.1805,128.5278,3.1998,4.7154e+01,93.4320,98.2812,17.0360,118.90,53.39,221.67,495.3971,1206.0386
122,3660.0,-1.116791,0.167610,1.008570,-1057.5318,154.3207,13.3090,264.9553,1.1186,4.8810e+01,93.0852,101.8865,17.0882,7571.08,52.94,20000.00,263.3656,599.0511
123,3690.0,-1.118515,0.169074,1.003097,-1147.1903,152.2211,5.9220,89.6585,2.0996,4.6132e+01,92.7381,91.2516,17.1261,1598.25,52.09,5092.51,44.4805,1271.7558
124,3720.0,-1.122135,0.182432,0.994674,-1267.4133,151.1729,16.2016,120.2230,1.0482,4.5942e+01,92.3980,89.9879,17.1583,762.87,51.33,2335.72,90.0214,1412.9536
125,3750.0,-1.134662,0.170965,0.997761,-1245.5167,151.3102,17.2610,21.8966,0.1373,4.5492e+01,92.0645,89.5808,17.2011,481.77,50.62,1400.57,87.7041,1273.6368
126,3780.0,-1.140523,0.156133,0.997059,-1152.9959,151.1291,15.9642,92.5208,0.1811,4.5123e+01,91.7684,88.9653,17.2433,347.95,49.94,957.38,114.3772,2625.8789
127,3810.0,-1.145334,0.160298,0.990801,-1094.0275,151.1767,8.9244,58.9684,0.0475,4.4839e+01,91.4761,88.2214,17.2766,290.55,48.97,707.23,23.7508,912.4882
128,3840.0,-1.140896,0.176454,0.989989,-971.6528,153.2062,16.7744,122.3747,2.0295,4.4610e+01,91.1874,87.4528,17.3029,235.37,47.73,550.02,16.9816,961.7288
129,3870.0,-1.147323,0.190698,0.991980,-1159.8318,154.6779,15.7533,188.1790,1.4717,4.4449e+01,90.9022,87.0567,17.3235,197.69,46.65,443.76,73.4198,1424.5859
130,3900.0,-1.155965,0.196893,0.983429,-1356.6015,154.2226,13.6449,196.7698,0.4553,4.4285e+01,90.6202,85.9391,17.3390,170.51,45.58,368.04,31.2150,1218.2982
131,3930.0,-1.150646,0.200826,0.975367,-1293.8417,154.3912,10.4284,62.7598,0.1686,4.4169e+01,90.3415,85.1631,17.3500,150.10,44.57,311.88,50.9208,1971.2920
