SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
1170.0,G02,1314.0559,1971.0839,43.8019,52.5622,13.20,-293.50,115.79
1170.0,G03,325.2181,487.8272,10.8406,13.0087,67.29,-18.86,122.38
1170.0,G04,579.7611,869.6416,19.3254,23.1904,31.16,-182.24,127.04
1170.0,G07,1426.5368,2139.8051,47.5512,57.0615,12.14,441.21,545.75
1170.0,G08,844.3827,1266.5740,28.1461,33.7753,20.81,207.93,146.43
1170.0,G16,326.8779,490.3168,10.8959,13.0751,66.60,-3.98,150.63
1170.0,G26,562.8489,844.2734,18.7616,22.5140,32.21,586.86,99.78
1170.0,G27,678.5318,1017.7977,22.6177,27.1413,26.24,149.12,183.39
1170.0,G31,899.7087,1349.5630,29.9903,35.9883,19.48,3910.07,-42.38
1200.0,G01,803.9379,1205.9069,26.7979,32.1575,21.91,-299.78,5.96
1200.0,G02,1322.2141,1983.3211,44.0738,52.8886,13.11,318.93,-132.52
1200.0,G03,324.9390,487.4084,10.8313,12.9976,67.41,-249.19,-131.55
1200.0,G04,577.4319,866.1478,19.2477,23.0973,31.30,-619.68,-149.39
1200.0,G07,1418.3958,2127.5938,47.2799,56.7358,12.21,168.11,200.73
1200.0,G08,839.1983,1258.7975,27.9733,33.5679,20.95,-443.18,-88.51
1200.0,G16,327.2781,490.9172,10.9093,13.0911,66.44,75.92,-89.94
1200.0,G26,566.1139,849.1709,18.8705,22.6446,32.00,1429.60,-111.76
1200.0,G27,675.9282,1013.8924,22.5309,27.0371,26.35,219.31,-37.34
1200.0,G31,905.1724,1357.7586,30.1724,36.2069,19.36,5330.08,-36.29
1230.0,G01,807.3965,1211.0947,26.9132,32.2959,21.81,-754.23,-58.73
1230.0,G02,1330.4293,1995.6440,44.3476,53.2172,13.03,523.56,-100.60
1230.0,G03,324.6681,487.0022,10.8223,12.9867,67.52,42.51,-144.73
1230.0,G04,575.1178,862.6767,19.1706,23.0047,31.44,-374.12,-212.17
1230.0,G07,1410.3857,2115.5785,47.0129,56.4154,12.28,665.22,166.04
1230.0,G08,834.0654,1251.0982,27.8022,33.3626,21.08,97.60,-70.93
1230.0,G16,327.6873,491.5310,10.9229,13.1075,66.28,269.91,-49.33
