SOD,nGPS,nGal,NL_count,WL_count,n_sats,GPS_NE_frac,gal_sig_scale,Gal_leverage,sigma_U_comb_mm,sigma_U_GPS_mm,ISB_m,P_ISB_m2,ISB_observable,ZWD_m,P_ZWD_m2,corr_U_ZWD,corr_mean_60ep,Q_ZWD_m2s,decorr_active,trace_P_pos_m2,nml_sc_gps,nml_sc_gal
52440.0,8,4,0,2,12,0.7289,1.0000,163.436,14.33,2342.77,+1.322609,0.004978,1,0.118710,0.00002768,-0.0295,0.0306,5.000e-11,0,0.001114,1.0000,1.0000
52500.0,8,4,0,2,12,0.7676,1.0000,244.893,14.33,3509.59,+1.319497,0.004992,1,0.118684,0.00002765,-0.0295,0.0305,5.000e-11,0,0.001115,1.0050,0.9950
52560.0,8,4,0,2,12,0.8650,1.0000,213.436,14.33,3058.12,+1.319944,0.005014,1,0.118663,0.00002761,-0.0294,0.0305,5.000e-11,0,0.001115,1.0098,0.9902
52620.0,8,4,0,2,12,0.8639,1.0000,209.768,14.33,3004.94,+1.318967,0.005039,1,0.118649,0.00002758,-0.0294,0.0304,5.000e-11,0,0.001115,1.0143,0.9857
52680.0,8,4,0,2,12,0.8726,1.0000,184.734,14.32,2645.78,+1.317665,0.005065,1,0.118631,0.00002755,-0.0294,0.0304,5.000e-11,0,0.001116,1.0185,0.9815
52740.0,8,4,0,2,12,0.8616,1.0000,201.942,14.32,2891.64,+1.317475,0.005091,1,0.118643,0.00002751,-0.0293,0.0303,5.000e-11,0,0.001116,1.0226,0.9774
52800.0,8,4,0,2,12,0.8623,1.0000,186.543,14.32,2670.58,+1.315763,0.005117,1,0.118646,0.00002748,-0.0293,0.0303,5.000e-11,0,0.001117,1.0265,0.9735
52860.0,8,4,0,2,12,0.8610,1.0000,183.421,14.31,2625.35,+1.314579,0.005143,1,0.118651,0.00002745,-0.0293,0.0302,5.000e-11,0,0.001117,1.0302,0.9698
52920.0,8,4,0,2,12,0.8596,1.0000,180.315,14.31,2580.36,+1.314550,0.005169,1,0.118637,0.00002741,-0.0292,0.0302,5.000e-11,0,0.001118,1.0337,0.9663
52980.0,8,4,0,2,12,0.9806,1.0000,195.536,14.31,2797.53,+1.312666,0.005186,1,0.118630,0.00002738,-0.0293,0.0301,5.000e-11,0,0.001118,1.0370,0.9630
53040.0,7,4,0,1,11,0.8567,1.0000,245.843,14.30,3516.59,+1.313270,0.005212,1,0.118629,0.00002735,-0.0292,0.0301,5.000e-11,0,0.001119,1.0401,0.9599
53100.0,8,4,0,1,12,0.8556,1.0000,171.205,14.30,2448.47,+1.312352,0.005237,1,0.118616,0.00002731,-0.0292,0.0300,5.000e-11,0,0.001119,1.0431,0.9569
53160.0,7,4,0,2,11,0.8350,1.0000,222.960,14.30,3187.90,+1.312902,0.005242,1,0.118601,0.00002728,-0.0291,0.0300,5.000e-11,0,0.001120,1.0000,1.0000
53220.0,7,4,0,2,11,0.7266,1.0000,294.806,14.30,4214.26,+1.312710,0.005277,1,0.118602,0.00002725,-0.0291,0.0299,5.000e-11,0,0.001120,1.0050,0.9950
53280.0,8,4,0,2,12,0.9966,1.0000,170.024,14.29,2429.90,+1.309961,0.005303,1,0.118573,0.00002722,-0.0291,0.0299,5.000e-11,0,0.001120,1.0000,1.0000
53340.0,9,4,0,2,13,0.9976,1.0000,120.605,14.29,1723.26,+1.310180,0.005332,1,0.118596,0.00002719,-0.0291,0.0299,5.000e-11,0,0.001120,1.0000,1.0000
53400.0,8,4,0,2,12,0.9521,1.0000,146.695,14.29,2095.61,+1.309729,0.005362,1,0.118602,0.00002716,-0.0290,0.0298,5.000e-11,0,0.001121,1.0000,1.0000
53460.0,8,4,0,2,12,0.9754,1.0000,161.483,14.28,2306.26,+1.309143,0.005398,1,0.118586,0.00002712,-0.0290,0.0298,5.000e-11,0,0.001121,1.0000,1.0000
53520.0,8,4,0,2,12,0.9747,1.0000,156.392,14.28,2233.06,+1.306836,0.005435,1,0.118540,0.00002709,-0.0290,0.0297,5.000e-11,0,0.001121,1.0050,0.9950
53580.0,9,4,0,2,13,0.9938,1.0000,116.062,14.28,1656.86,+1.305748,0.005474,1,0.118536,0.00002706,-0.0290,0.0297,5.000e-11,0,0.001121,1.0000,1.0000
53640.0,8,4,0,2,12,0.9218,1.0000,132.227,14.27,1887.27,+1.303243,0.005513,1,0.118526,0.00002703,-0.0289,0.0297,5.000e-11,0,0.001122,1.0050,0.9950
53700.0,7,4,0,2,11,0.9204,1.0000,197.545,14.27,2818.92,+1.302270,0.005537,1,0.118541,0.00002700,-0.0289,0.0296,5.000e-11,0,0.001122,1.0000,1.0000
53760.0,7,3,0,2,10,0.6394,1.0000,173.849,14.27,2480.29,+1.301035,0.005571,1,0.118513,0.00002697,-0.0289,0.0296,5.000e-11,0,0.001122,1.0050,0.9950
53820.0,7,3,0,2,10,0.9962,1.0000,205.842,14.26,2936.11,+1.298729,0.005607,1,0.118466,0.00002694,-0.0289,0.0296,5.000e-11,0,0.001123,1.0000,1.0000
53880.0,7,3,0,2,10,0.9918,1.0000,96.915,14.26,1382.10,+1.296714,0.005642,1,0.118463,0.00002690,-0.0288,0.0295,5.000e-11,0,0.001123,1.0000,1.0000
53940.0,7,3,0,2,10,0.6759,1.0000,183.525,14.26,2616.74,+1.297455,0.005675,1,0.118465,0.00002687,-0.0288,0.0295,5.000e-11,0,0.001124,1.0000,1.0000
54000.0,7,3,0,2,10,0.9235,1.0000,156.586,14.26,2232.24,+1.300087,0.005712,1,0.118460,0.00002684,-0.0288,0.0295,5.000e-11,0,0.001124,1.0000,1.0000
